PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Gk	0.97	0.88	1.21	0.33	0.9	0.91	1.05	0.86
Tmem65	1.45	1.16	1.25	0.48	1.01	0.87	1.74	0.88
Ints2	0.9	1.16	0.98	-0.21	0.95	1.1	0.83	0.91
Gm10273	0.97	0.88	1.13	0.07	1.04	1.01	1.13	1
Uqcrh	1.12	0.88	1.26	0.52	0.95	0.9	1.66	0.9
Psmb7	0.9	1.16	1.01	-0.09	1.16	1.23	0.86	1
Atp5c1	1.41	1.16	1.42	0.85	0.97	0.84	2.61	0.87
Ndufa11	0.92	0.88	1.19	0.34	0.97	0.94	1.29	0.9
Mar2	0.93	0.88	0.99	-0.1	0.94	1.06	0.99	1.02
Rbpms	0.9	0.88	1.03	-0.14	1.07	1.01	0.97	0.95
Cul4a	0.93	1.16	1.07	0.08	0.96	1.09	0.98	0.93
Slc4a1	1.56	1.16	1.54	0.69	0.66	1.01	2.15	1.5
Eno1	1.02	1.15	1.18	-0.07	1.13	1.2	0.88	0.89
Dag1	1	1.15	0.96	-0.11	1.04	0.98	1.11	0.96
Cdv3	0.92	0.88	1	0.23	0.95	0.79	0.94	0.94
Ppih	0.99	0.88	0.92	0	1.02	1.11	0.89	1.04
Rcc2	0.9	0.88	0.78	0.01	0.83	0.89	0.91	1.1
Mrpl40	1.19	0.88	1.1	0.19	0.99	0.98	1.29	1.12
Ank1.1	0.95	1.15	0.9	-0.22	1.18	1.2	1.04	0.99
Txlnb	1	0.88	0.96	-0.26	1.06	0.98	0.84	0.96
Csrp2	1.02	0.88	1.01	-0.06	1.07	0.95	0.85	1.01
Sod2	1.11	1.15	0.98	0.3	0.82	0.86	0.96	1.39
Syncrip	0.96	0.88	0.99	-0.18	1.02	0.9	0.85	1
Cbr4	1.1	1.15	1.09	0.21	1.11	1.22	0.89	1.04
Myh7	0.46	0.88	0.77	0.17	0.96	2.5	1.79	0.96
Ndufa10	1.05	0.88	1.39	0.42	0.99	0.88	1.51	0.86
Ndufa7	1.11	0.88	1.41	0.42	1	0.85	1.64	0.84
Fabp3	1.17	1.15	0.97	0.38	0.87	0.81	1.12	1.63
Mtif2	1.16	0.88	0.85	0.05	0.94	0.86	0.9	1.3
Chtf8	0.92	0.88	1.01	-0.1	1	1.07	0.96	0.91
Idh3a	1.22	1.15	0.99	0.24	0.87	0.83	0.98	1.2
Usp13	1.02	1.15	0.94	0	1.05	1.07	0.96	0.96
Srsf2	1.1	0.89	1.15	-0.03	0.74	0.83	0.86	1.3
Des	0.95	1.15	0.97	-0.01	1.12	1.05	1.05	0.92
Myo1c	1.1	1.15	1.04	-0.12	0.94	1.07	0.98	1.04
Sbds	0.99	0.89	0.95	0.06	1.05	0.98	0.9	1.05
Mmab	1.12	0.89	1.01	0.64	1.11	0.84	0.77	1.02
Alkbh3	0.94	0.89	1.1	-0.03	0.87	1.08	0.85	0.82
Ndufb7	1.09	0.89	1.24	0.34	1.01	0.86	1.5	0.9
Thbs1	1.17	0.89	0.99	0.79	0.64	0.95	0.87	1.03
Nars	0.88	0.89	0.76	0.27	1.09	0.87	0.74	1.01
Slc25a12	1.05	0.89	1.25	0.2	1.05	0.97	1.12	0.98
Hbb.b1	1.34	0.89	2.7	0.96	0.82	1.28	0.39	1.15
Slc25a13	1.04	0.89	1.33	0.24	1.04	0.96	1.25	0.98
Jagn1	1.08	0.89	1.05	0.09	1.12	0.95	1.05	0.94
Cox7a2	0.89	0.89	1.32	0.1	1.13	0.97	1.29	0.95
Dad1	1.08	0.89	0.97	0.18	1.12	0.93	1.04	0.98
Ndufb9	1.09	0.89	1.41	0.4	0.95	0.9	1.5	0.86
Zhx2	1	1.15	1.02	0.03	1.05	1.02	0.86	0.92
Phf3	0.89	0.89	1.15	0.13	1.16	1.04	0.95	0.95
Mad1l1	0.92	1.15	1.1	0.2	1.41	1.24	1.06	0.95
Rpl22l1	0.93	1.15	0.91	-0.37	1.11	1.04	1.12	1.04
Upf1	0.95	0.89	1.02	-0.17	0.99	0.86	0.87	0.99
Cpt1a	1.1	1.15	1	-0.11	1.06	0.9	0.84	1.08
Myh3	0.93	1.15	1.22	-0.11	0.98	1.06	0.8	0.96
Snw1	1.05	1.15	1.05	0.01	1.08	1.13	0.99	1.01
Rbm3	0.97	1.15	1.02	-0.24	0.94	0.87	1.07	1.24
Cspg4	0.91	1.15	0.93	-0.01	1.01	0.97	1.09	1.1
Emc4	0.95	1.15	1	-0.03	1.04	0.97	0.97	1.08
Usp2	0.95	1.15	1.02	-0.16	1.14	0.99	0.96	0.99
Mlf2	1.1	1.15	1.17	-0.16	1.04	1.08	1.09	1
Strap	0.89	0.89	1.04	0.02	0.93	0.81	0.94	1
Ptges2	1.03	0.89	1.05	-0.03	1	1.03	1	1.01
Mettl7a1	1.08	0.89	1.04	0.03	0.95	0.91	0.96	1.09
Fxyd1	1.14	1.15	1.23	0.09	1.05	1.02	1.48	1.05
Pura	0.89	0.89	0.98	-0.17	0.99	0.86	0.82	0.95
Mtch1	0.96	0.89	1.01	-0.04	0.96	0.98	0.87	1.03
Ndc1	0.99	1.15	0.92	-0.27	0.89	1.08	0.92	0.96
Pygb	0.93	1.15	1.14	0.17	0.91	0.76	0.98	1.08
Ddx39a	0.99	1.15	0.88	0.03	1.19	1	0.95	0.93
Iqgap1	1.07	0.89	1.01	-0.11	0.93	1.11	0.89	1.04
Arhgap12	1.09	1.15	0.86	-0.17	0.94	0.99	0.93	1.16
Hspb8	1.03	1.15	1.06	-0.02	1.06	1.16	1.12	1
Mrpl14	1.02	1.15	1.07	0.04	1.16	1.02	0.92	1.03
Eif4e2	0.96	1.15	1.07	-0.3	0.97	0.87	0.83	0.88
Capza2	0.97	1.15	1.03	-0.05	1.15	1.08	0.99	0.94
Hspa2	0.93	1.15	1.02	-0.01	0.74	1.15	1.91	1.13
Cltc	1	0.89	1.07	-0.14	0.97	0.94	1.13	0.93
Eif2s1	0.98	1.15	0.98	-0.02	0.95	1.06	1.09	1.15
Psmb6	0.99	0.89	1.03	-0.07	1.04	0.91	1.09	0.89
Recql	0.99	0.89	0.95	-0.03	0.98	1.04	0.86	1.01
Ndufv2	1.1	0.89	1.45	0.51	1	0.92	1.68	0.86
Ndufv1	1.1	0.89	1.48	0.48	0.99	0.85	1.61	0.83
Manf	1.02	0.89	0.99	0.18	0.94	0.94	0.88	0.93
Abcb1a	0.98	0.89	0.91	0.3	0.96	0.91	0.95	1.14
Farp1	0.91	0.89	0.8	-0.07	0.78	1.05	0.77	1.08
Mprip	0.75	1.14	0.95	0.06	1.07	1.29	1.11	1.02
Slfn5	1.05	0.89	0.96	0.05	1.19	0.98	0.91	1.01
Pigs	0.88	1.14	1.16	-0.29	0.83	0.92	0.84	1.09
Lsp1	1.08	0.89	1.01	0.16	0.95	1.3	1.06	0.91
Ktn1	0.99	1.14	1.05	-0.33	1.12	0.71	0.9	0.99
Ccdc9b	1	0.89	0.92	-0.19	0.99	1.08	1.01	1.06
Dnajc8	0.89	0.89	0.81	-0.21	0.93	0.89	0.77	1.01
Ddx3x	0.93	0.89	0.91	-0.16	0.93	0.87	0.94	0.95
Apoh	1.18	1.14	1.11	0.23	1.11	1.24	1.08	1.09
Kars	0.98	0.89	0.92	-0.05	1.04	0.91	0.86	0.89
Kcnj11	1.12	1.14	0.91	-0.1	1.07	0.97	1.02	0.96
Atp1a2	1.29	1.14	1.08	0.05	1	0.92	1.04	1.18
mt.Co3	0.94	0.89	1.69	0.42	1.07	0.89	1.3	0.97
Sec61a2	0.84	1.14	0.96	0.07	1.06	1.03	0.82	1.06
Gtpbp8	0.98	0.89	1.01	0.02	1.03	1.03	0.86	1.06
Rpl3	1.02	0.89	0.93	-0.11	0.85	0.95	1.02	1.04
Pabpc4	0.92	0.89	1.01	-0.16	1.01	0.87	0.88	0.97
Pnpla6	0.93	1.14	1.13	0.07	1.17	1.1	0.92	0.93
Mrpl19	1.04	0.89	1.04	0.26	0.78	0.84	1.14	1.12
Lrrfip1	0.98	0.89	0.88	-0.17	0.88	1.08	0.93	1
Obscn	0.93	1.14	0.98	-0.07	1.1	1.05	0.84	0.97
Tmed7	1.04	0.9	1.13	0.1	1.06	1.04	1.06	1.11
Vapb	0.97	1.14	0.97	-0.09	1.13	1.05	0.94	0.95
Ablim1	0.95	1.14	1.03	-0.04	1.11	1.06	0.9	0.99
Ehd1	1.3	0.9	1.02	0.35	0.85	0.82	0.98	1.08
Lgals9	1.04	0.9	0.76	-0.02	0.86	0.96	1.36	0.92
Homer1	1	1.14	1	-0.05	1.06	1.04	0.89	1.04
Cox7a1	1.1	0.9	1.52	0.39	1.08	0.95	1.48	0.93
Wfs1	1.1	1.14	1.06	0.15	1.04	0.95	1.13	0.99
Mrpl58	1.2	0.9	1.23	0.19	1.09	1.03	1.12	1.07
Ndufb4	1.03	0.9	1.48	0.45	1.03	0.86	1.65	0.86
Xrcc1	0.91	1.14	0.89	-0.33	0.84	1.04	0.83	0.98
Prpf4	0.92	0.9	1.04	-0.16	0.97	1.04	0.91	0.99
Chchd6	0.99	0.9	1.02	0.03	0.99	1	1.13	1.01
Kpnb1	0.9	1.14	0.98	-0.08	1	1.02	1.07	0.95
Ddx19a	1.01	1.14	0.99	-0.25	1.22	0.97	0.9	1.05
Ndufs6	1.04	0.9	1.28	0.43	1.04	0.92	1.59	0.89
Ruvbl2	0.95	1.14	0.94	-0.13	0.93	1.1	0.97	0.99
Ndufb11	1.08	0.9	1.37	0.4	1.02	0.9	1.47	0.87
Bcam	1.12	1.14	1.09	0.07	1.02	0.93	1.15	1.07
Hsd17b8	1.07	1.14	1.07	0.2	1.14	1.19	0.88	1.05
Capza1	1	1.14	0.99	0.12	1.04	1.07	1.02	0.97
Sipa1	1	1.14	1.05	-0.08	1.03	1.03	0.93	1.21
Ndufb3	1.17	0.9	1.57	0.51	1.05	0.86	1.77	0.86
Asph	1	1.14	1.16	0.02	1.05	0.99	1.11	1.05
Cox6a1	1.02	0.9	1.12	0.18	0.99	0.88	1.31	0.99
Tnni3	1.02	1.14	0.96	-0.03	1.21	1.07	0.98	0.92
Cox6a2	1.09	0.9	1.32	0.26	0.98	0.9	1.33	0.92
Pgam2	1.08	1.14	0.94	0.33	0.93	0.98	1.13	1.38
Sccpdh	1.08	1.14	1.2	0.08	0.99	1	1	1.07
Dnttip2	0.73	1.14	0.82	-0.42	1.23	1.06	0.89	0.95
Rfx1	0.95	1.14	0.74	-0.16	0.85	0.89	0.98	0.98
Ldb3.1	0.96	1.14	1.01	0.01	1.16	1.07	1.02	0.95
Coq10a	0.99	0.9	1.14	0.11	1.01	1	0.91	1.07
Lrrc39	1.06	1.14	1.04	0.05	1.19	1.12	0.83	1.01
Dctn4	0.9	0.9	0.78	0.01	1	1.06	0.97	0.99
Timp3	1.14	0.9	0.98	0.41	0.73	0.9	0.87	1.04
Ndufs7	1.09	0.9	1.38	0.4	1.01	0.93	1.48	0.87
Slirp	1.19	0.9	1.25	0.14	0.98	0.97	0.88	0.99
Ryr2	0.96	1.14	1	-0.17	1.07	1.05	0.8	1
Casq2	0.98	0.9	1.06	0	0.9	0.89	1.16	1.1
Cox7b	1.07	0.9	1.7	0.41	0.97	0.84	1.44	0.93
Slc25a31	1.03	0.9	1.03	0.16	1.13	1.06	1.02	1.09
Ndufa3	1.1	0.9	1.55	0.43	1.09	0.88	1.78	0.9
Ppp1r3a	1.05	1.14	1.07	0.02	1.06	0.87	1.05	0.92
Rnmt	0.78	0.9	1.03	-0.19	1.05	0.93	0.76	0.84
Ehhadh	1.04	1.14	1.1	0.07	1.06	1.02	0.85	1.31
Flna	1.12	0.9	0.98	0.19	0.82	0.84	0.89	1.1
Psmb5	0.98	0.9	1.16	-0.12	1.05	1.02	1.14	0.94
Abcf1	0.99	0.9	1.03	0.06	0.92	0.99	0.97	1.07
Eif3k	1.01	0.9	1.1	0.09	0.86	0.83	1.25	1.03
Vrk1	0.76	1.14	0.71	-0.44	1.01	1.16	0.92	0.92
Vps52	1.08	0.9	1.07	0.11	0.9	1.01	1.1	1.08
Ndufa5	1.09	0.9	1.48	0.47	0.98	0.9	1.65	0.87
Pars2	1	0.9	1.12	-0.07	0.99	1.09	0.76	0.99
Sun1	0.92	1.14	0.94	-0.13	1.06	1.17	0.8	0.92
Arpp19	1.05	0.9	0.85	0.21	1.06	0.8	0.8	0.97
Dstn	0.96	0.9	0.8	-0.19	1.01	0.94	0.99	0.95
Lamb2	1	1.14	1.06	0.07	1.03	1	0.93	1.09
Ndufa8	1.13	0.9	1.4	0.43	1.02	0.86	1.67	0.83
Myl4	1.06	1.14	1.12	-0.07	0.75	0.8	0.74	1.21
Ndufc2	1.04	0.9	1.38	0.47	0.99	0.9	1.58	0.92
Ehd4	1.04	0.9	0.93	-0.01	0.96	1.1	0.92	1.07
Cdh13	1.01	1.14	1.07	-0.05	0.9	0.82	1.35	0.92
Cyb5r3	1.19	1.14	1.44	0.49	1.13	0.94	1.97	0.97
Ckmt2	1.1	1.14	0.95	-0.04	1.08	1.23	0.88	1.07
Tnnt2	0.95	1.14	1.12	-0.04	1.21	1.06	1.07	0.93
Tial1	0.95	0.9	0.95	-0.11	0.97	0.93	0.85	1.03
Msi2	0.9	0.9	1.06	-0.15	1.01	0.88	0.81	0.93
Obscn.1	0.97	1.13	0.9	-0.18	1.04	1.07	0.79	0.96
Prph	1.21	0.9	1.28	-0.03	0.7	0.84	0.97	1.09
Ppp2ca	1.16	1.13	1.11	-0.05	0.88	1	1.2	1.16
Hsdl2	1.16	1.13	1.06	0.04	1.02	1.07	0.79	1.07
Dynlrb1	1.03	1.13	1.02	0.02	1.04	1.04	1.15	1
Lama2	0.97	1.13	1.02	0.02	1.06	0.93	0.94	1
Pex3	0.98	1.13	1.09	0.15	1.09	0.91	1.28	1.01
Vwf	1.19	0.9	1.01	0.2	0.65	0.68	1	1.07
Acad12	1.12	1.13	1.18	0.24	1	1.37	1.2	1.02
Tpm1	0.99	1.13	0.98	0	1.2	1.07	1.03	0.96
Bod1l	0.87	1.13	0.82	-0.14	1.43	1.03	0.95	0.91
Parp3	0.95	1.13	0.85	0	0.97	1.11	1.01	1
Ppip5k2	1.11	1.13	0.87	-0.05	1.04	1.16	0.75	1.09
Ccdc90b	1.25	1.13	1.4	0.42	0.96	0.86	1.7	0.93
Heatr1	0.86	1.13	1.11	-0.22	1.08	1.23	0.88	0.98
Adamtsl5	1.1	1.13	0.93	0.1	1.11	0.99	1.06	1.13
Abcb8	1.02	0.9	1.18	0.15	0.96	0.86	1.18	1
Maip1	1.11	1.13	1.07	0.07	1.01	1.08	1.15	1.11
Arl6ip5	0.99	0.9	0.95	-0.01	1.04	0.86	0.97	0.92
Cnn3	1.35	1.13	1.17	0.14	0.92	1.1	1.41	0.98
Ndufs4	1.12	0.9	1.44	0.47	1	0.87	1.71	0.81
Stx7	1.03	1.13	1.04	-0.15	0.92	1.07	1.45	0.97
Myoz2	0.91	1.13	1.01	0	1.16	1.07	1.01	0.94
Ddx21	0.93	1.13	0.94	-0.19	1.03	1.14	0.93	0.94
Mtfp1	1.32	1.13	1.66	0.75	1.13	0.93	2.61	0.86
FAM120A	1.03	0.9	1.01	-0.06	1.01	0.9	0.84	0.99
Efhd2	1.24	0.9	1.18	0.02	0.91	0.95	1.18	1.09
Trrap	0.9	1.13	0.91	-0.15	0.96	1.11	0.98	0.99
Fhl1	1.11	0.9	0.93	0.16	0.92	1.01	1.84	1.17
Synpo	0.96	1.13	0.98	0.02	1.1	1.06	1.05	0.95
Calm1	1.11	1.13	1.02	-0.02	0.92	1	1.11	1.03
Ybx1	0.91	0.9	0.94	-0.19	1.02	0.84	0.91	1.02
Dld	1.22	1.13	1.35	0.59	0.91	0.87	2.13	0.89
Prkaa2	1.05	0.9	1.09	0.1	1	0.96	0.95	0.96
Tppp	1.03	0.9	1.01	0.05	1.12	1.04	0.8	1.01
Eif1a	1.01	0.9	0.96	0.05	0.81	0.75	1.2	1.37
Mtnd5	1.04	0.9	1.29	0.49	1	0.85	1.43	0.87
Eif4e	0.78	1.13	1.06	-0.23	0.83	1.05	0.87	0.84
Eif4g3	0.96	0.91	1.23	-0.02	1.08	1	0.89	1.03
Timmdc1	1.03	0.91	1.29	0.5	0.97	1.02	1.21	0.99
Dip2c	1.18	1.13	1.11	-0.2	1.04	0.87	1.17	1.1
Eif4h	0.91	0.91	1.09	0.18	1.01	0.75	0.86	0.92
Sgcg	1.01	1.13	0.99	-0.15	1.1	1.02	1.09	1.01
Atp1b1	1.21	1.13	1.24	0.18	1.08	0.95	1.37	0.96
Ndufs2	1.08	0.91	1.36	0.46	0.99	0.86	1.49	0.9
Kif1c	1.04	0.91	0.99	-0.12	0.95	0.97	0.8	1.05
Sept11	1.01	0.91	0.81	-0.08	0.9	0.96	0.88	1
Trim72	1.33	1.13	1.17	0.58	0.85	0.78	1.38	1.3
Bud31	0.86	1.13	0.88	-0.36	0.99	1.01	0.76	1.01
Abhd16a	0.99	0.91	1.07	0.15	1.02	0.89	1.1	0.96
Tmem143	1.02	0.91	1.23	0.18	0.88	0.97	1.19	0.97
Myo18b	0.97	1.13	0.98	-0.02	1.09	1.08	0.88	0.99
Mybphl	1.1	1.13	1.15	-0.1	0.74	0.8	0.76	1.14
Cds2	1.04	1.13	1.13	0	0.97	0.91	1.06	1.02
Mrm3	1.44	1.13	1.13	0.18	0.96	1.02	0.86	1.03
Mark2	0.96	0.91	0.95	0.11	1	1.04	1.04	1.06
Ndufa6	1.1	0.91	1.43	0.5	1	0.86	1.77	0.84
Tpi1	1.05	0.91	0.92	0.02	1.04	0.95	0.94	1.14
Erlin2	1.13	1.13	1.09	0.14	1.08	1.03	1.17	1.01
Prdx2	1.06	0.91	1.01	0.12	0.99	0.95	0.55	1.14
Ndufs3	1.16	0.91	1.46	0.47	1	0.89	1.63	0.86
Rab11fip5	0.9	1.13	1.04	0.07	0.84	0.95	0.98	1
Tagln	1.44	1.13	1.28	0.53	1.23	0.85	1.03	1
Myom1	0.94	1.13	1.02	-0.04	1.13	1.08	0.84	0.97
Nebl.1	0.96	1.13	1	-0.01	1.08	1.03	0.97	0.99
Macrod1	1.23	1.13	1.23	0.54	0.98	0.82	0.9	1.17
Rala	0.97	0.91	1.09	-0.06	0.92	0.97	1.08	1.03
Palmd	0.98	1.13	1.08	0.01	1.03	1.03	1.01	1.05
Nid1	1	1.13	1.07	0.1	1.08	0.99	0.97	1.02
Eps15l1	1.05	0.91	1.14	0.02	0.96	0.99	1.22	0.96
Copa	1.05	0.91	1.09	0.06	1.06	0.78	1.33	1.07
Agk	0.96	0.91	1.02	0	0.94	0.89	1.22	1.02
Lamc1.1	1.01	1.13	1	0	1.04	0.93	0.9	1.03
Nup35	0.91	1.13	0.99	-0.24	1.24	1.29	0.83	1
Vps39	0.82	0.91	0.88	0.28	0.91	0.89	1.29	0.9
Ddx42	0.91	0.91	0.94	0.05	0.97	0.8	1.19	0.95
Ubxn4	1.02	0.91	0.91	-0.04	0.83	0.93	0.91	1.01
Aimp2	1.05	0.91	0.92	0.01	1.05	0.97	0.89	0.94
Psmd12	0.91	0.91	1.02	0.02	1.1	0.98	1.12	0.82
Ptcd2	1.08	0.91	1.03	0.07	1.03	1.07	0.82	1.07
Snta1	1.02	1.13	0.99	-0.08	1.04	1.09	1.05	0.99
Stub1	1.02	1.13	0.95	-0.17	1.04	1.12	1.11	1.12
Tor1aip1	0.91	1.13	0.91	-0.16	1.06	1.14	0.83	0.92
Plrg1	1	1.12	0.95	-0.18	1	1.04	0.81	0.97
Nexn	1.03	1.12	1.01	-0.03	1.08	1.09	1.05	1
Mrps15	1.24	0.91	1.18	0.29	1.09	0.95	1.22	1.1
Morc2a	0.92	1.12	0.99	0.04	1.2	1.03	0.82	0.93
Acat1	1.04	1.12	1.07	0.14	0.97	1.11	0.87	1.15
Naa25	1.05	0.91	0.97	0.22	0.99	0.93	1	1.02
Psmc1	0.91	0.91	0.91	-0.09	1.02	0.95	1.03	0.95
Tmem35a	0.83	0.91	1.07	-0.36	1	0.95	0.76	1.05
Ndufb5	1.12	0.91	1.38	0.46	1	0.87	1.65	0.86
Mul1	0.97	0.91	0.99	0.13	0.96	0.99	1.06	0.94
Pdlim5	0.94	1.12	1.03	0.02	1.17	1.04	1.04	0.96
Cenpv	0.93	1.12	0.89	-0.26	1.08	1.1	0.75	0.94
Ndufb10	1.1	0.91	1.43	0.44	1.04	0.88	1.62	0.89
Ndufb8	1.03	0.91	1.3	0.38	0.99	0.92	1.39	0.91
Npm1	0.91	0.91	0.95	-0.32	0.95	1.11	0.94	1.02
Cggbp1	0.77	1.12	1.03	-0.26	1.23	1.04	0.88	1.05
Srsf5	0.95	0.91	1.03	-0.12	0.87	0.88	1.01	1.11
Map2k3	1.02	0.91	1.02	0.12	1	0.99	0.76	0.99
Mfge8	1.07	0.91	1.17	0.11	1.03	0.96	1.1	0.98
Csde1	0.95	0.91	1.1	-0.13	1.01	0.9	0.82	1.01
Pcid2	0.98	0.91	1.02	-0.07	1.06	1	0.87	1.04
Tmem43	1.02	1.12	1.12	-0.08	0.76	1.11	1.15	1
Synpo2	0.98	1.12	1.01	-0.01	1.09	1	0.89	0.96
Nme2	0.9	0.91	1.09	0.23	0.97	0.86	1.18	1.11
Ints1	0.98	1.12	0.93	-0.08	1.01	1.1	0.89	1.02
Lasp1	1.04	1.12	0.93	0.15	1.01	1.06	1.02	0.98
Map7	0.82	0.91	0.91	0.13	0.99	0.9	1.48	0.95
Ndufa12	1.08	0.91	1.37	0.45	0.97	0.89	1.58	0.85
Hspb6	1.5	1.12	1.13	-0.01	1.09	1.04	1.48	1.14
Nek7	1.06	0.91	1.05	0.23	1.64	0.99	0.91	1.01
Tmem209	0.89	1.12	0.91	-0.11	1.08	0.99	0.73	0.84
Ncbp1	0.72	1.12	0.94	-0.27	1.02	1.18	0.91	1.15
Rilp	0.86	1.12	0.7	-0.22	0.96	1.16	0.81	0.69
H3f3c	0.91	1.12	0.83	-0.34	1.09	1.2	0.77	0.87
Actr3b	1.05	1.12	1.2	-0.01	1.32	1.02	1.03	0.99
Pelp1	0.91	0.91	0.94	-0.21	1	1.02	0.85	1.16
Lmf1	0.89	1.12	1.01	0	1.11	1	1.07	1.06
Esd	1	1.12	1.1	0.03	1.02	1.1	0.9	1.01
Mtus2	0.94	0.91	0.91	-0.03	0.97	1.04	0.96	0.95
Ap1b1	1.1	0.91	1.08	-0.17	1.01	1.14	1.14	1.01
Fsd2	0.95	1.12	0.97	0.01	1.05	1.13	0.85	1
Anxa2	1.11	0.91	1	0.04	0.9	1.04	1.08	0.86
Ccdc141	0.96	1.12	1	-0.08	1.04	1.09	0.79	0.99
Myo18a	1.07	1.12	1.02	-0.18	1.07	0.98	0.83	0.99
Mtnd1	1.09	0.91	1.52	0.57	1.08	0.9	1.4	0.81
Eif3j2	1.19	0.91	1.1	0.04	0.83	0.79	1.4	1.08
Fkbp8	1.01	0.91	1.01	-0.13	0.96	1	0.94	1.03
Eno3	0.95	1.12	1.01	0	1.1	1.13	0.94	0.98
Nipsnap2	1.89	1.12	1.14	0.34	0.86	0.98	1.01	1.2
Hmgb1	1.03	1.12	0.81	-0.12	0.89	0.76	0.77	1.02
Nebl.2	0.95	1.12	0.97	-0.03	1.12	1.04	0.89	0.96
X1700021F05Rik	1.09	1.12	1.03	0.24	1.01	1.03	0.98	1.01
Dock7	1.09	1.12	1.12	0.18	0.99	0.88	0.94	1.15
Ndufb1	1.21	0.92	1.42	0.41	1.08	0.85	1.56	0.87
Trak1	1.05	0.92	1.04	0.13	0.99	0.99	0.95	0.98
Pkm	1.16	1.12	0.93	0.24	0.86	0.82	0.92	1.36
Ppia	1.29	0.92	0.89	0.62	0.71	0.89	1.12	1.26
Ndufs1	1.09	0.92	1.41	0.44	1	0.89	1.44	0.86
Mrpl13	1.07	0.92	0.99	0.06	0.98	1.08	0.99	1.01
Hspa12a	1.01	0.92	1.05	0.02	0.94	0.98	0.99	0.93
Usp10	0.9	1.12	1.11	-0.16	0.99	0.99	1.01	1.01
Ep400	0.94	1.12	0.92	-0.23	1.02	1.03	0.81	0.98
Bub3	0.95	0.92	0.97	-0.25	1.02	1.02	0.84	1.02
Psmd4	0.87	0.92	1	-0.27	1.1	0.97	1.04	0.85
Pspc1	0.9	1.12	0.9	-0.18	1.03	1.09	0.84	1
Fitm1	0.94	1.12	0.98	-0.03	1.12	1.03	0.86	1.09
Timm44	0.74	1.12	0.98	-0.04	0.99	0.9	0.91	1.03
Krt8	1.14	0.92	0.99	-0.39	0.77	1.83	0.95	0.97
Bag5	1.04	1.12	1	-0.12	0.99	1.1	0.93	1
Pcbd2	0.99	1.12	1.21	0.23	0.78	0.84	1.65	1.07
Cttn	1.01	1.12	0.95	0.06	0.98	0.96	1.03	0.97
Hdac1	0.94	1.12	0.75	-0.22	1	1.07	0.86	0.92
Selenok	1.05	0.92	0.96	-0.06	1.1	1.15	0.94	0.94
Cux1	0.96	0.92	1.35	-0.22	0.84	1.06	0.79	1.06
Col4a2	1.02	1.12	1.03	0.02	1.02	1.01	0.86	1.03
Sync	1.02	1.12	1.03	0.13	0.92	1.06	1.05	1.07
Ndufa13	1.13	0.92	1.41	0.44	1.01	0.87	1.59	0.85
Sacs	0.99	1.12	0.98	0.04	1.04	1.01	0.76	1
Mtch2	0.96	0.92	1.17	0.15	1.05	0.92	1.11	0.92
Tmed10	1.07	1.12	1.17	0.11	0.99	0.96	1.34	0.97
Ndufs5	1.11	0.92	1.37	0.48	0.95	0.84	1.65	0.83
Mthfd1	0.9	0.92	0.93	-0.03	1.04	0.9	1.08	0.89
Pnkd	1.04	0.92	0.98	0	0.99	0.98	1.06	1.04
Gpam	1.08	1.12	1.13	0.04	1.01	0.95	0.99	1.03
Lamb1	1	1.12	0.98	0	1.07	0.89	0.89	0.99
Ywhaz	1.03	0.92	1.04	0.29	0.8	0.97	1.04	1.08
Lmnb2	0.91	1.12	0.88	-0.17	1.12	1.26	0.83	0.89
Polr2g	0.85	1.12	0.86	-0.33	1.08	1.07	0.91	1.02
Snrpa	0.98	1.12	0.94	-0.21	1.09	1.03	1.01	1.05
Slc25a11	1.06	0.92	1.25	0.29	1.04	1.01	1.14	0.97
Psmb4	0.84	0.92	0.92	-0.02	0.92	0.86	1.11	0.88
Add3	0.98	0.92	0.86	-0.11	0.89	0.88	0.87	1.07
Dnajc1	0.84	1.12	0.95	-0.13	1.03	1.2	0.89	0.98
Nup155	0.93	1.12	0.95	-0.2	1.03	1.12	0.89	0.97
Sec11a	1	0.92	0.97	-0.07	0.98	0.98	1	1.07
Dhx30	1	0.92	0.82	0.03	1	0.97	0.98	1.01
Usmg5	1.1	0.92	1.08	0.05	1.08	1.07	1.05	1.04
Mfap5	1.1	1.12	1.04	0.12	1.03	1	1.2	1.23
Myl3	0.93	1.12	0.96	-0.05	1.27	1.07	1.01	0.91
Vars	1	0.92	0.93	0.01	0.98	0.93	0.97	0.93
Capzb	1.06	0.92	0.99	0.2	0.88	1.04	1.17	1
Fblim1	0.95	0.92	0.99	-0.16	1.15	1.06	0.96	0.89
Actn2	0.93	1.12	0.98	0.01	1.16	1.05	0.93	0.96
Myh6	0.95	1.12	0.98	-0.06	1.21	1.07	0.8	0.95
Ank2.1	1.04	1.12	1.01	-0.12	1.09	0.94	0.84	0.85
Prpf31	1.02	0.92	0.93	-0.1	1.09	1	1.01	1.12
Dhx15	0.9	0.92	0.87	-0.26	1.09	1.03	0.87	0.94
Mrps6	1.32	0.92	1.15	0.4	1.09	1.3	0.87	1.04
Rangap1	0.81	0.92	0.86	-0.27	1.08	1	0.74	0.9
Cd93	1.03	1.12	0.93	0.24	1.01	0.87	1	0.89
